"id","univ_name_en","item","code_final","code_markdown","code_aux","md_aux_discordant","text_source_used","evidence_keyword","evidence_excerpt","harmonized_basis"
3,"Zhejiang University","human_review_requirement",0,0,0,0,"policy_markdown","","",""
3,"Zhejiang University","appeal_right_reply",0,0,0,0,"policy_markdown","","",""
3,"Zhejiang University","transparency_records",1,1,0,1,"policy_markdown","检测报告","（1）查重率在10%以下的为通过，根据检测报告做适当修改",""
3,"Zhejiang University","detector_not_sole_evidence",1,1,1,0,"policy_markdown","不作为强制性评价标准","送给自己的指导老师。 五、其他说明 1. 原则上，每位学生在教务系统只能点击1次“上传查重网站”进行检测，请勿上传无关内容进行检测。 2. 本次 AIGC 检测 结果仅作为毕业论文（设计）质量的参考依据，供指导教师、答辩委员等有针对性地核实学生掌握相关专业知识与能力的情况，不作为强制性评价标准，不与论文通过与否直接挂钩。 如有其它疑问，请咨询本科教学科陆晓清 电话： 0571-87951684 邮箱： luxiaoqing@zju.edu.cn 附件： 毕业论文（设计）查重常见问题(Q&A).doc 物理学院 2025年4月17日",""
3,"Zhejiang University","error_limitation_disclosure",0,0,0,0,"policy_markdown","","",""
3,"Zhejiang University","ai_use_disclosure_statement",0,0,0,0,"policy_markdown","","",""
3,"Zhejiang University","d1_harmonized",1,1,1,0,"policy_markdown","不作为强制性评价标准","送给自己的指导老师。 五、其他说明 1. 原则上，每位学生在教务系统只能点击1次“上传查重网站”进行检测，请勿上传无关内容进行检测。 2. 本次 AIGC 检测 结果仅作为毕业论文（设计）质量的参考依据，供指导教师、答辩委员等有针对性地核实学生掌握相关专业知识与能力的情况，不作为强制性评价标准，不与论文通过与否直接挂钩。 如有其它疑问，请咨询本科教学科陆晓清 电话： 0571-87951684 邮箱： luxiaoqing@zju.edu.cn 附件： 毕业论文（设计）查重常见问题(Q&A).doc 物理学院 2025年4月17日","markdown_direct"
3,"Zhejiang University","d2_harmonized",0,0,0,0,"policy_markdown","","","markdown_direct"
3,"Zhejiang University","d3_responsibility",0,0,0,0,"policy_markdown","","",""
3,"Zhejiang University","d4_ai_as_aid",1,1,0,1,"policy_markdown","科学合理使用生成式人工智能技术，防范学术不端，学校决定在 2025 届本科生毕业论文（设计）查重环节，同步提供 AIGC","为强化学术诚信教育，规范本科生在毕业论文（设计）中科学合理使用生成式人工智能技术，防范学术不端，学校决定在 2025 届本科生毕业论文（设计）查重环节，同步提供 AIGC 检测 机会，具体事宜如下。 一、检测平台 知网 查重 、 AIGC 检测功能已 链入本科教学管理信息服务平台（ 网址： zdbk.zju.edu.cn ，以下简称教务系统 ），学生可直接通过教务系统进行毕业论文查重 和 AIGC 检测。 二、检测时间 2025年4月21日起 三、检测方法 步骤 1 ： 登录教务系统（ zdbk.zju.edu.cn ），进入 毕业论文（设计） —— 学生过程资料， 在 “查重稿（ 论文初稿",""
4,"Shanghai Jiao Tong University","human_review_requirement",0,0,0,0,"threshold_plus_policy_summary","","",""
4,"Shanghai Jiao Tong University","appeal_right_reply",0,0,0,0,"threshold_plus_policy_summary","","",""
4,"Shanghai Jiao Tong University","transparency_records",0,0,0,0,"threshold_plus_policy_summary","","",""
4,"Shanghai Jiao Tong University","detector_not_sole_evidence",0,0,0,0,"threshold_plus_policy_summary","","",""
4,"Shanghai Jiao Tong University","error_limitation_disclosure",0,0,0,0,"threshold_plus_policy_summary","","",""
4,"Shanghai Jiao Tong University","ai_use_disclosure_statement",0,0,0,0,"threshold_plus_policy_summary","","",""
4,"Shanghai Jiao Tong University","d1_harmonized",0,0,0,0,"threshold_plus_policy_summary","","","fallback_summary"
4,"Shanghai Jiao Tong University","d2_harmonized",0,0,0,0,"threshold_plus_policy_summary","","","fallback_summary"
4,"Shanghai Jiao Tong University","d3_responsibility",0,0,0,0,"threshold_plus_policy_summary","","",""
4,"Shanghai Jiao Tong University","d4_ai_as_aid",0,0,0,0,"threshold_plus_policy_summary","","",""
5,"Fudan University","human_review_requirement",0,0,0,0,"threshold_plus_policy_summary","","",""
5,"Fudan University","appeal_right_reply",0,0,0,0,"threshold_plus_policy_summary","","",""
5,"Fudan University","transparency_records",0,0,0,0,"threshold_plus_policy_summary","","",""
5,"Fudan University","detector_not_sole_evidence",0,0,0,0,"threshold_plus_policy_summary","","",""
5,"Fudan University","error_limitation_disclosure",0,0,0,0,"threshold_plus_policy_summary","","",""
5,"Fudan University","ai_use_disclosure_statement",1,0,1,0,"threshold_plus_policy_summary","Disclosure and Declaration",". Confidential Content: For undergraduate theses (designs) involving confidential content, the use of any AI tools and the uploading of any data or images to AI platforms are prohibited. Article 5: Disclosure and Declaration When using AI tools, the following information must be clearly disclosed in the undergraduate thesis (design) commitment statement: The name and version of the AI tool used, as well as the time and",""
5,"Fudan University","d1_harmonized",0,0,0,0,"threshold_plus_policy_summary","","","fallback_summary"
5,"Fudan University","d2_harmonized",1,0,1,0,"threshold_plus_policy_summary","Disclosure and Declaration",". Confidential Content: For undergraduate theses (designs) involving confidential content, the use of any AI tools and the uploading of any data or images to AI platforms are prohibited. Article 5: Disclosure and Declaration When using AI tools, the following information must be clearly disclosed in the undergraduate thesis (design) commitment statement: The name and version of the AI tool used, as well as the time and","fallback_summary"
5,"Fudan University","d3_responsibility",1,0,1,0,"threshold_plus_policy_summary","The author bears ultimate responsibility","tions. Relevant important materials before AI tool processing must be retained for review and inquiry by the supervising instructor or reviewers regarding the use of AI tools. Article 6: Responsibility and Authorship The author bears ultimate responsibility for the content generated using AI tools. AI tools may not be listed as authors or co-authors. When using AI tools, the originality and academic integrity of the final work must be ensured to avoid academic misconduct.",""
5,"Fudan University","d4_ai_as_aid",1,0,1,0,"threshold_plus_policy_summary","Auxiliary Tool","duate Theses (Designs). Article 2: Definitions AI tools referred to in these regulations include Generative Artificial Intelligence (Generative AI, referred to as ""GenAI"" or ""Generative AI"") and Artificial Intelligence Auxiliary Tools (referred to as ""AI Auxiliary Tools""). Generative AI: Refers to tools that use artificial intelligence technology to generate content such as text, images, and audio, e.g., ChatGPT, GPTs, ERNIE Bot, etc. AI Auxiliary",""
6,"Nanjing University","human_review_requirement",0,0,0,0,"policy_markdown","","",""
6,"Nanjing University","appeal_right_reply",0,0,0,0,"policy_markdown","","",""
6,"Nanjing University","transparency_records",0,0,0,0,"policy_markdown","","",""
6,"Nanjing University","detector_not_sole_evidence",1,1,1,0,"policy_markdown","辅助参考","成式人工智能工具，确保最终学术成果的原创性和学术诚信，本届毕业论文面向学院开放“维普 AIGC 检测 ”, 由学院自主选择使用检测功能（是否需要检测请以各学院通知为准）。该功能可为学生提供 单次 免费检测服务，其检测结果是基于算法模型的概率性分析，存在技术局限性，仅作为学术规范性辅助参考，不作为论文原创性判定依据。 AIGC 检测分为学生检测或者学院集中上传两种模式。需通过毕业论文管理系统，维普检测系统学校专用登录地址 https://cloud.fanyu.com/organ/lib/nju 。 学生账号：学号 初始密码： nju 学号（例如： nju20",""
6,"Nanjing University","error_limitation_disclosure",1,1,0,1,"policy_markdown","技术局限","为引导同学们合理规范使用生成式人工智能工具，确保最终学术成果的原创性和学术诚信，本届毕业论文面向学院开放“维普 AIGC 检测 ”, 由学院自主选择使用检测功能（是否需要检测请以各学院通知为准）。该功能可为学生提供 单次 免费检测服务，其检测结果是基于算法模型的概率性分析，存在技术局限性，仅作为学术规范性辅助参考，不作为论文原创性判定依据。 AIGC 检测分为学生检测或者学院集中上传两种模式。需通过毕业论文管理系统，维普检测系统学校专用登录地址 https://cloud.fanyu.com/organ/lib/nju 。 学生账号：学号 初始密码： nj",""
